"event_id","gender","level","threshold","standard_system","source"
"1","1","1","10.25","2","中国田协-国际级健将"
"1","1","2","10.5","2","中国田协-健将"
"1","1","3","10.88","2","中国田协-一级"
"1","1","4","11.54","2","中国田协-二级"
"1","1","5","12.55","2","中国田协-三级"
"2","1","1","20.62","2","中国田协-国际级健将"
"2","1","2","21.3","2","中国田协-健将"
"2","1","3","21.95","2","中国田协-一级"
"2","1","4","23.51","2","中国田协-二级"
"2","1","5","25.65","2","中国田协-三级"
"3","1","1","45.74","2","中国田协-国际级健将"
"3","1","2","47.6","2","中国田协-健将"
"3","1","3","49.6","2","中国田协-一级"
"3","1","4","52.43","2","中国田协-二级"
"3","1","5","56.3","2","中国田协-三级"
"4","1","1","106.3","2","中国田协-国际级健将（800m）"
"4","1","2","111","2","中国田协-健将（800m）"
"4","1","3","114.5","2","中国田协-一级（800m）"
"4","1","4","122.11","2","中国田协-二级（800m）"
"4","1","5","129.53","2","中国田协-三级（800m）"
"6","1","1","218.2","2","中国田协-国际级健将（1500m）"
"6","1","2","228","2","中国田协-健将（1500m）"
"6","1","3","234.9","2","中国田协-一级（1500m）"
"6","1","4","253.86","2","中国田协-二级（1500m）"
"6","1","5","268.69","2","中国田协-三级（1500m）"
"8","1","3","515","2","中国田协-一级（3000m）"
"8","1","4","550","2","中国田协-二级（3000m）"
"8","1","5","565.9","2","中国田协-三级（3000m）"
"10","1","1","811.4","2","中国田协-国际级健将（5000m）"
"10","1","2","850","2","中国田协-健将（5000m）"
"10","1","3","880","2","中国田协-一级（5000m）"
"10","1","4","955.72","2","中国田协-二级（5000m）"
"10","1","5","1026","2","中国田协-三级（5000m）"
"11","1","1","1699","2","中国田协-国际级健将（10000m）"
"11","1","2","1785","2","中国田协-健将（10000m）"
"11","1","3","1850","2","中国田协-一级（10000m）"
"11","1","4","2010.09","2","中国田协-二级（10000m）"
"11","1","5","2172.4","2","中国田协-三级（10000m）"
"14","1","1","7970","2","中国田协-国际级健将（马拉松=2:12:50）"
"14","1","2","8360","2","中国田协-健将（马拉松=2:19:20）"
